Year,Value,Metric
2014,0.01,Top-1 Accuracy
2015,0.01,Top-1 Accuracy
2016,0.02,Top-1 Accuracy
2017,0.0,Top-1 Accuracy
2018,0.01,Top-1 Accuracy
2019,0.01,Top-1 Accuracy
2020,0.0,Top-1 Accuracy
2021,0.03,Top-1 Accuracy
2022,0.01,Top-1 Accuracy
2023,0.02,Top-1 Accuracy
2014,0.59,Top-5 Hit Rate
2015,0.46,Top-5 Hit Rate
2016,0.56,Top-5 Hit Rate
2017,0.51,Top-5 Hit Rate
2018,0.47,Top-5 Hit Rate
2019,0.44,Top-5 Hit Rate
2020,0.43,Top-5 Hit Rate
2021,0.41,Top-5 Hit Rate
2022,0.67,Top-5 Hit Rate
2023,0.55,Top-5 Hit Rate
