Year,Value,Metric
2014,0.81,Top-1 Accuracy
2015,0.8,Top-1 Accuracy
2016,0.84,Top-1 Accuracy
2017,0.93,Top-1 Accuracy
2018,0.85,Top-1 Accuracy
2019,0.84,Top-1 Accuracy
2020,1.3,Top-1 Accuracy
2021,0.55,Top-1 Accuracy
2022,0.91,Top-1 Accuracy
2023,1.3,Top-1 Accuracy
2014,10.66,Top-5 Hit Rate
2015,10.67,Top-5 Hit Rate
2016,10.84,Top-5 Hit Rate
2017,10.57,Top-5 Hit Rate
2018,9.96,Top-5 Hit Rate
2019,10.31,Top-5 Hit Rate
2020,10.52,Top-5 Hit Rate
2021,9.71,Top-5 Hit Rate
2022,10.59,Top-5 Hit Rate
2023,11.23,Top-5 Hit Rate
