Year,Value,Metric
2014,12.54,Top-1 Accuracy
2015,12.63,Top-1 Accuracy
2016,12.5,Top-1 Accuracy
2017,12.76,Top-1 Accuracy
2018,12.86,Top-1 Accuracy
2019,13.61,Top-1 Accuracy
2020,10.67,Top-1 Accuracy
2021,14.19,Top-1 Accuracy
2022,14.94,Top-1 Accuracy
2023,11.98,Top-1 Accuracy
2014,58.29,Top-5 Hit Rate
2015,57.93,Top-5 Hit Rate
2016,57.55,Top-5 Hit Rate
2017,57.93,Top-5 Hit Rate
2018,56.73,Top-5 Hit Rate
2019,57.96,Top-5 Hit Rate
2020,53.18,Top-5 Hit Rate
2021,55.68,Top-5 Hit Rate
2022,56.69,Top-5 Hit Rate
2023,55.13,Top-5 Hit Rate
