Year,Value,Metric
2014,27.52,Top-1 Accuracy
2015,26.54,Top-1 Accuracy
2016,26.68,Top-1 Accuracy
2017,25.49,Top-1 Accuracy
2018,27.09,Top-1 Accuracy
2019,27.35,Top-1 Accuracy
2020,18.42,Top-1 Accuracy
2021,21.91,Top-1 Accuracy
2022,25.79,Top-1 Accuracy
2023,23.14,Top-1 Accuracy
2014,65.75,Top-5 Hit Rate
2015,65.14,Top-5 Hit Rate
2016,65.65,Top-5 Hit Rate
2017,65.1,Top-5 Hit Rate
2018,64.86,Top-5 Hit Rate
2019,65.11,Top-5 Hit Rate
2020,60.34,Top-5 Hit Rate
2021,62.28,Top-5 Hit Rate
2022,63.71,Top-5 Hit Rate
2023,63.41,Top-5 Hit Rate
