Year,Value,Metric
2014,23.35,Top-1 Accuracy
2015,22.99,Top-1 Accuracy
2016,22.7,Top-1 Accuracy
2017,20.98,Top-1 Accuracy
2018,22.89,Top-1 Accuracy
2019,22.87,Top-1 Accuracy
2020,18.64,Top-1 Accuracy
2021,22.07,Top-1 Accuracy
2022,21.39,Top-1 Accuracy
2023,19.67,Top-1 Accuracy
2014,46.38,Top-5 Hit Rate
2015,46.27,Top-5 Hit Rate
2016,46.42,Top-5 Hit Rate
2017,45.24,Top-5 Hit Rate
2018,46.47,Top-5 Hit Rate
2019,46.69,Top-5 Hit Rate
2020,42.54,Top-5 Hit Rate
2021,47.53,Top-5 Hit Rate
2022,47.46,Top-5 Hit Rate
2023,45.6,Top-5 Hit Rate
