Year,Value,Metric
2014,3.7,Top-1 Accuracy
2015,4.2,Top-1 Accuracy
2016,3.52,Top-1 Accuracy
2017,3.43,Top-1 Accuracy
2018,3.62,Top-1 Accuracy
2019,3.88,Top-1 Accuracy
2020,5.78,Top-1 Accuracy
2021,2.66,Top-1 Accuracy
2022,2.69,Top-1 Accuracy
2023,3.16,Top-1 Accuracy
2014,21.98,Top-5 Hit Rate
2015,22.58,Top-5 Hit Rate
2016,22.35,Top-5 Hit Rate
2017,21.08,Top-5 Hit Rate
2018,21.23,Top-5 Hit Rate
2019,22.29,Top-5 Hit Rate
2020,23.26,Top-5 Hit Rate
2021,17.39,Top-5 Hit Rate
2022,18.51,Top-5 Hit Rate
2023,18.77,Top-5 Hit Rate
