model_name,Hit_Rate,Processing_Time,strategy_name
Qwen2.5 14B,65.7,1.85,With Geospatial
Qwen2.5 14B,63.8,2.15,Geospatial + Temporal
Qwen2.5 14B,30.9,2.45,Base Version
Qwen2.5 7B,48.2,1.45,With Geospatial
Qwen2.5 7B,46.1,1.65,Geospatial + Temporal
Qwen2.5 7B,15.8,2.05,Base Version
Mistral 7B,42.5,1.95,With Geospatial
Mistral 7B,40.2,2.25,Geospatial + Temporal
Mistral 7B,8.5,2.55,Base Version
Llama3.1 8B,38.7,2.15,With Geospatial
Llama3.1 8B,36.9,2.45,Geospatial + Temporal
Llama3.1 8B,11.2,2.85,Base Version
Mixtral 8x7B,37.2,2.25,With Geospatial
Mixtral 8x7B,35.1,2.55,Geospatial + Temporal
Mixtral 8x7B,10.8,3.15,Base Version
DeepSeek-Coder 33B,34.2,2.85,With Geospatial
DeepSeek-Coder 33B,32.5,3.25,Geospatial + Temporal
DeepSeek-Coder 33B,9.7,3.85,Base Version
