Year,Value,Metric
2014,0.14,Top-1 Accuracy
2015,0.18,Top-1 Accuracy
2016,0.09,Top-1 Accuracy
2017,0.09,Top-1 Accuracy
2018,0.1,Top-1 Accuracy
2019,0.13,Top-1 Accuracy
2020,0.04,Top-1 Accuracy
2021,0.11,Top-1 Accuracy
2022,0.13,Top-1 Accuracy
2023,0.21,Top-1 Accuracy
2014,5.22,Top-5 Hit Rate
2015,5.94,Top-5 Hit Rate
2016,6.18,Top-5 Hit Rate
2017,6.25,Top-5 Hit Rate
2018,5.44,Top-5 Hit Rate
2019,5.56,Top-5 Hit Rate
2020,5.93,Top-5 Hit Rate
2021,5.8,Top-5 Hit Rate
2022,6.69,Top-5 Hit Rate
2023,7.14,Top-5 Hit Rate
