Year,Value,Metric
2014,7.27,Top-1 Accuracy
2015,6.26,Top-1 Accuracy
2016,11.56,Top-1 Accuracy
2017,11.51,Top-1 Accuracy
2018,19.08,Top-1 Accuracy
2019,20.46,Top-1 Accuracy
2020,14.31,Top-1 Accuracy
2021,16.82,Top-1 Accuracy
2022,20.86,Top-1 Accuracy
2023,18.69,Top-1 Accuracy
2014,54.23,Top-5 Hit Rate
2015,55.06,Top-5 Hit Rate
2016,57.6,Top-5 Hit Rate
2017,55.82,Top-5 Hit Rate
2018,57.81,Top-5 Hit Rate
2019,61.02,Top-5 Hit Rate
2020,55.75,Top-5 Hit Rate
2021,57.43,Top-5 Hit Rate
2022,59.32,Top-5 Hit Rate
2023,56.93,Top-5 Hit Rate
