Year,Value,Metric
2014,0.8,Top-1 Accuracy
2015,0.89,Top-1 Accuracy
2016,0.88,Top-1 Accuracy
2017,0.88,Top-1 Accuracy
2018,0.77,Top-1 Accuracy
2019,0.75,Top-1 Accuracy
2020,0.72,Top-1 Accuracy
2021,1.01,Top-1 Accuracy
2022,0.92,Top-1 Accuracy
2023,1.05,Top-1 Accuracy
2014,12.1,Top-5 Hit Rate
2015,12.93,Top-5 Hit Rate
2016,13.61,Top-5 Hit Rate
2017,15.05,Top-5 Hit Rate
2018,14.02,Top-5 Hit Rate
2019,14.01,Top-5 Hit Rate
2020,15.75,Top-5 Hit Rate
2021,14.32,Top-5 Hit Rate
2022,15.13,Top-5 Hit Rate
2023,16.92,Top-5 Hit Rate
