Year,Value,Metric
2014,33.96,Top-1 Accuracy
2015,32.1,Top-1 Accuracy
2016,31.98,Top-1 Accuracy
2017,31.39,Top-1 Accuracy
2018,32.84,Top-1 Accuracy
2019,32.45,Top-1 Accuracy
2020,38.35,Top-1 Accuracy
2021,30.19,Top-1 Accuracy
2022,32.72,Top-1 Accuracy
2023,30.58,Top-1 Accuracy
2014,86.31,Top-5 Hit Rate
2015,84.36,Top-5 Hit Rate
2016,85.19,Top-5 Hit Rate
2017,86.45,Top-5 Hit Rate
2018,85.89,Top-5 Hit Rate
2019,86.14,Top-5 Hit Rate
2020,85.49,Top-5 Hit Rate
2021,82.79,Top-5 Hit Rate
2022,84.75,Top-5 Hit Rate
2023,84.12,Top-5 Hit Rate
