Year,Value,Metric
2014,4.0,Top-1 Accuracy
2015,4.31,Top-1 Accuracy
2016,4.17,Top-1 Accuracy
2017,4.49,Top-1 Accuracy
2018,4.39,Top-1 Accuracy
2019,4.16,Top-1 Accuracy
2020,4.65,Top-1 Accuracy
2021,3.75,Top-1 Accuracy
2022,4.96,Top-1 Accuracy
2023,3.94,Top-1 Accuracy
2014,34.54,Top-5 Hit Rate
2015,34.59,Top-5 Hit Rate
2016,34.68,Top-5 Hit Rate
2017,35.36,Top-5 Hit Rate
2018,35.37,Top-5 Hit Rate
2019,35.37,Top-5 Hit Rate
2020,34.24,Top-5 Hit Rate
2021,35.65,Top-5 Hit Rate
2022,34.9,Top-5 Hit Rate
2023,34.75,Top-5 Hit Rate
