Year,Value,Metric
2014,19.16,Top-1 Accuracy
2015,19.59,Top-1 Accuracy
2016,20.14,Top-1 Accuracy
2017,19.53,Top-1 Accuracy
2018,20.94,Top-1 Accuracy
2019,20.29,Top-1 Accuracy
2020,14.56,Top-1 Accuracy
2021,19.26,Top-1 Accuracy
2022,21.54,Top-1 Accuracy
2023,19.19,Top-1 Accuracy
2014,53.11,Top-5 Hit Rate
2015,53.46,Top-5 Hit Rate
2016,54.76,Top-5 Hit Rate
2017,52.75,Top-5 Hit Rate
2018,54.16,Top-5 Hit Rate
2019,54.31,Top-5 Hit Rate
2020,51.24,Top-5 Hit Rate
2021,56.26,Top-5 Hit Rate
2022,56.16,Top-5 Hit Rate
2023,54.46,Top-5 Hit Rate
