Year,Value,Metric
2014,18.87,Top-1 Accuracy
2015,18.72,Top-1 Accuracy
2016,19.13,Top-1 Accuracy
2017,18.56,Top-1 Accuracy
2018,19.78,Top-1 Accuracy
2019,19.23,Top-1 Accuracy
2020,13.54,Top-1 Accuracy
2021,18.45,Top-1 Accuracy
2022,20.44,Top-1 Accuracy
2023,18.96,Top-1 Accuracy
2014,51.2,Top-5 Hit Rate
2015,51.59,Top-5 Hit Rate
2016,52.63,Top-5 Hit Rate
2017,51.69,Top-5 Hit Rate
2018,52.12,Top-5 Hit Rate
2019,52.05,Top-5 Hit Rate
2020,48.19,Top-5 Hit Rate
2021,53.83,Top-5 Hit Rate
2022,53.55,Top-5 Hit Rate
2023,53.19,Top-5 Hit Rate
