Path,Mean,StdDev,Max
middle/baseline_heuristics/popular/top1_metrics_canva.csv,38.95,1.93,41.48
middle/baseline_heuristics/random/top1_metrics_canva.csv,5.22,0.08,5.38
middle/baseline_heuristics/nearest/top1_metrics_canva.csv,2.08,0.32,2.73
middle/baseline_heuristics/absolute_popular/top1_metrics_canva.csv,29.18,1.69,32.17
middle/baseline_heuristics/absolute_popular_top_k/top1_metrics_canva.csv,29.18,1.69,32.17
middle/qwen2.5_14b/base_version/top1_metrics_canva.csv,0.87,0.11,1.05
middle/qwen2.5_14b/with_geom/top1_metrics_canva.csv,24.99,2.96,27.52
middle/qwen2.5_14b/with_geom_time_cluster/top1_metrics_canva.csv,33.19,2.55,37.92
middle/qwen2.5_14b/with_geom_time_best_cluster/top1_metrics_canva.csv,16.18,5.89,21.94
middle/qwen2.5_14b/with_geom_time/top1_metrics_canva.csv,24.34,2.81,27.10
middle/mistral_7b/base_version/top1_metrics_canva.csv,0.12,0.05,0.21
middle/mistral_7b/with_geom/top1_metrics_canva.csv,24.54,2.41,27.64
middle/mistral_7b/with_geom_time_cluster/top1_metrics_canva.csv,29.60,1.75,32.88
middle/mistral_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,17.18,2.23,20.10
middle/mistral_7b/with_geom_time/top1_metrics_canva.csv,17.27,1.86,19.84
middle/llama3.1_8b/base_version/top1_metrics_canva.csv,8.39,0.91,9.97
middle/llama3.1_8b/with_geom/top1_metrics_canva.csv,13.24,1.48,14.92
middle/llama3.1_8b/with_geom_time_cluster/top1_metrics_canva.csv,30.27,2.94,35.12
middle/llama3.1_8b/with_geom_time_best_cluster/top1_metrics_canva.csv,13.45,3.98,17.55
middle/llama3.1_8b/with_geom_time/top1_metrics_canva.csv,14.37,1.55,15.83
middle/mixtral_8x7b/base_version/top1_metrics_canva.csv,0.91,0.23,1.30
middle/mixtral_8x7b/with_geom/top1_metrics_canva.csv,12.87,1.18,14.94
middle/mixtral_8x7b/with_geom_time_cluster/top1_metrics_canva.csv,33.77,2.73,38.48
middle/mixtral_8x7b/with_geom_time_best_cluster/top1_metrics_canva.csv,14.68,5.35,20.86
middle/mixtral_8x7b/with_geom_time/top1_metrics_canva.csv,5.87,0.83,7.54
middle/deepseek-coder_33b/base_version/top1_metrics_canva.csv,0.01,0.01,0.03
middle/deepseek-coder_33b/with_geom/top1_metrics_canva.csv,4.79,0.75,5.90
middle/deepseek-coder_33b/with_geom_time_cluster/top1_metrics_canva.csv,27.92,2.63,31.18
middle/deepseek-coder_33b/with_geom_time_best_cluster/top1_metrics_canva.csv,5.60,1.38,6.99
middle/deepseek-coder_33b/with_geom_time/top1_metrics_canva.csv,4.53,0.54,5.26
middle/qwen2.5_7b/base_version/top1_metrics_canva.csv,0.01,0.01,0.02
middle/qwen2.5_7b/with_geom/top1_metrics_canva.csv,19.13,1.95,21.30
middle/qwen2.5_7b/with_geom_time_cluster/top1_metrics_canva.csv,31.19,1.52,33.59
middle/qwen2.5_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,10.09,3.67,15.55
middle/qwen2.5_7b/with_geom_time/top1_metrics_canva.csv,17.81,1.69,19.50
penultimate/baseline_heuristics/popular/top1_metrics_canva.csv,46.30,5.17,53.21
penultimate/baseline_heuristics/random/top1_metrics_canva.csv,5.62,0.12,5.75
penultimate/baseline_heuristics/nearest/top1_metrics_canva.csv,3.34,0.35,4.18
penultimate/baseline_heuristics/absolute_popular/top1_metrics_canva.csv,32.60,2.25,38.35
penultimate/baseline_heuristics/absolute_popular_top_k/top1_metrics_canva.csv,32.66,2.28,38.35
penultimate/qwen2.5_14b/base_version/top1_metrics_canva.csv,2.86,0.47,3.70
penultimate/qwen2.5_14b/with_geom/top1_metrics_canva.csv,19.42,1.88,21.54
penultimate/qwen2.5_14b/with_geom_time_cluster/top1_metrics_canva.csv,30.73,3.01,36.45
penultimate/qwen2.5_14b/with_geom_time_best_cluster/top1_metrics_canva.csv,12.71,4.85,19.97
penultimate/qwen2.5_14b/with_geom_time/top1_metrics_canva.csv,18.57,1.86,20.44
penultimate/mistral_7b/base_version/top1_metrics_canva.csv,0.10,0.03,0.15
penultimate/mistral_7b/with_geom/top1_metrics_canva.csv,21.76,1.58,23.35
penultimate/mistral_7b/with_geom_time_cluster/top1_metrics_canva.csv,30.59,3.02,36.49
penultimate/mistral_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,13.14,2.55,17.18
penultimate/mistral_7b/with_geom_time/top1_metrics_canva.csv,17.13,1.06,18.50
penultimate/llama3.1_8b/base_version/top1_metrics_canva.csv,9.99,0.65,10.95
penultimate/llama3.1_8b/with_geom/top1_metrics_canva.csv,4.96,0.37,5.73
penultimate/llama3.1_8b/with_geom_time_cluster/top1_metrics_canva.csv,27.40,3.34,32.37
penultimate/llama3.1_8b/with_geom_time_best_cluster/top1_metrics_canva.csv,11.04,2.85,13.99
penultimate/llama3.1_8b/with_geom_time/top1_metrics_canva.csv,14.10,0.41,14.72
penultimate/mixtral_8x7b/base_version/top1_metrics_canva.csv,3.66,0.89,5.78
penultimate/mixtral_8x7b/with_geom/top1_metrics_canva.csv,10.12,0.71,11.57
penultimate/mixtral_8x7b/with_geom_time_cluster/top1_metrics_canva.csv,32.18,2.52,35.71
penultimate/mixtral_8x7b/with_geom_time_best_cluster/top1_metrics_canva.csv,11.61,4.26,16.75
penultimate/mixtral_8x7b/with_geom_time/top1_metrics_canva.csv,6.82,0.48,7.60
penultimate/deepseek-coder_33b/base_version/top1_metrics_canva.csv,2.33,1.13,3.82
penultimate/deepseek-coder_33b/with_geom/top1_metrics_canva.csv,4.28,0.36,4.96
penultimate/deepseek-coder_33b/with_geom_time_cluster/top1_metrics_canva.csv,25.42,4.94,32.50
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/top1_metrics_canva.csv,4.92,1.00,6.32
penultimate/deepseek-coder_33b/with_geom_time/top1_metrics_canva.csv,3.97,0.27,4.50
penultimate/qwen2.5_7b/base_version/top1_metrics_canva.csv,0.00,0.01,0.01
penultimate/qwen2.5_7b/with_geom/top1_metrics_canva.csv,14.10,0.83,15.31
penultimate/qwen2.5_7b/with_geom_time_cluster/top1_metrics_canva.csv,26.06,3.18,30.26
penultimate/qwen2.5_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,8.56,2.18,12.38
penultimate/qwen2.5_7b/with_geom_time/top1_metrics_canva.csv,13.31,0.98,14.43
middle/baseline_heuristics/popular/hit5_metrics_canva.csv,74.61,1.91,78.09
middle/baseline_heuristics/random/hit5_metrics_canva.csv,26.03,0.33,26.33
middle/baseline_heuristics/nearest/hit5_metrics_canva.csv,34.78,2.05,37.12
middle/baseline_heuristics/absolute_popular/hit5_metrics_canva.csv,29.18,1.69,32.17
middle/baseline_heuristics/absolute_popular_top_k/hit5_metrics_canva.csv,84.21,1.96,86.39
middle/qwen2.5_14b/base_version/hit5_metrics_canva.csv,14.38,1.39,16.92
middle/qwen2.5_14b/with_geom/hit5_metrics_canva.csv,64.14,1.73,65.75
middle/qwen2.5_14b/with_geom_time_cluster/hit5_metrics_canva.csv,73.80,1.38,75.31
middle/qwen2.5_14b/with_geom_time_best_cluster/hit5_metrics_canva.csv,61.23,1.88,64.40
middle/qwen2.5_14b/with_geom_time/hit5_metrics_canva.csv,61.57,1.93,63.84
middle/mistral_7b/base_version/hit5_metrics_canva.csv,6.01,0.58,7.14
middle/mistral_7b/with_geom/hit5_metrics_canva.csv,57.11,2.38,59.64
middle/mistral_7b/with_geom_time_cluster/hit5_metrics_canva.csv,69.94,1.87,72.89
middle/mistral_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,53.16,1.06,54.73
middle/mistral_7b/with_geom_time/hit5_metrics_canva.csv,52.56,2.16,55.24
middle/llama3.1_8b/base_version/hit5_metrics_canva.csv,13.40,0.71,14.37
middle/llama3.1_8b/with_geom/hit5_metrics_canva.csv,49.42,1.94,52.29
middle/llama3.1_8b/with_geom_time_cluster/hit5_metrics_canva.csv,67.51,1.55,69.68
middle/llama3.1_8b/with_geom_time_best_cluster/hit5_metrics_canva.csv,47.80,2.67,51.47
middle/llama3.1_8b/with_geom_time/hit5_metrics_canva.csv,49.06,1.88,51.83
middle/mixtral_8x7b/base_version/hit5_metrics_canva.csv,10.51,0.43,11.23
middle/mixtral_8x7b/with_geom/hit5_metrics_canva.csv,56.71,1.62,58.29
middle/mixtral_8x7b/with_geom_time_cluster/hit5_metrics_canva.csv,71.38,1.45,73.72
middle/mixtral_8x7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,57.10,2.03,61.02
middle/mixtral_8x7b/with_geom_time/hit5_metrics_canva.csv,52.32,1.42,53.88
middle/deepseek-coder_33b/base_version/hit5_metrics_canva.csv,0.51,0.08,0.67
middle/deepseek-coder_33b/with_geom/hit5_metrics_canva.csv,39.92,1.85,43.67
middle/deepseek-coder_33b/with_geom_time_cluster/hit5_metrics_canva.csv,60.56,3.45,64.56
middle/deepseek-coder_33b/with_geom_time_best_cluster/hit5_metrics_canva.csv,42.81,3.32,47.41
middle/deepseek-coder_33b/with_geom_time/hit5_metrics_canva.csv,40.09,1.67,43.39
middle/qwen2.5_7b/base_version/hit5_metrics_canva.csv,0.44,0.07,0.57
middle/qwen2.5_7b/with_geom/hit5_metrics_canva.csv,50.21,1.66,52.69
middle/qwen2.5_7b/with_geom_time_cluster/hit5_metrics_canva.csv,71.91,2.05,74.78
middle/qwen2.5_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,44.85,3.03,49.25
middle/qwen2.5_7b/with_geom_time/hit5_metrics_canva.csv,50.06,1.43,52.22
penultimate/baseline_heuristics/popular/hit5_metrics_canva.csv,69.94,3.75,73.53
penultimate/baseline_heuristics/random/hit5_metrics_canva.csv,28.03,0.47,28.49
penultimate/baseline_heuristics/nearest/hit5_metrics_canva.csv,29.68,0.83,30.32
penultimate/baseline_heuristics/absolute_popular/hit5_metrics_canva.csv,32.60,2.25,38.35
penultimate/baseline_heuristics/absolute_popular_top_k/hit5_metrics_canva.csv,85.15,1.16,86.45
penultimate/qwen2.5_14b/base_version/hit5_metrics_canva.csv,26.11,2.25,30.80
penultimate/qwen2.5_14b/with_geom/hit5_metrics_canva.csv,54.07,1.52,56.26
penultimate/qwen2.5_14b/with_geom_time_cluster/hit5_metrics_canva.csv,65.62,2.78,69.34
penultimate/qwen2.5_14b/with_geom_time_best_cluster/hit5_metrics_canva.csv,50.41,2.90,54.85
penultimate/qwen2.5_14b/with_geom_time/hit5_metrics_canva.csv,52.00,1.60,53.83
penultimate/mistral_7b/base_version/hit5_metrics_canva.csv,11.25,0.94,12.64
penultimate/mistral_7b/with_geom/hit5_metrics_canva.csv,46.06,1.42,47.53
penultimate/mistral_7b/with_geom_time_cluster/hit5_metrics_canva.csv,65.50,2.97,69.39
penultimate/mistral_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,44.06,1.64,46.52
penultimate/mistral_7b/with_geom_time/hit5_metrics_canva.csv,41.31,1.61,43.22
penultimate/llama3.1_8b/base_version/hit5_metrics_canva.csv,16.00,1.20,17.85
penultimate/llama3.1_8b/with_geom/hit5_metrics_canva.csv,41.78,0.58,42.82
penultimate/llama3.1_8b/with_geom_time_cluster/hit5_metrics_canva.csv,58.13,2.73,60.78
penultimate/llama3.1_8b/with_geom_time_best_cluster/hit5_metrics_canva.csv,42.35,1.13,43.82
penultimate/llama3.1_8b/with_geom_time/hit5_metrics_canva.csv,45.18,0.81,46.30
penultimate/mixtral_8x7b/base_version/hit5_metrics_canva.csv,20.94,2.01,23.26
penultimate/mixtral_8x7b/with_geom/hit5_metrics_canva.csv,48.06,1.31,50.37
penultimate/mixtral_8x7b/with_geom_time_cluster/hit5_metrics_canva.csv,60.21,4.25,65.43
penultimate/mixtral_8x7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,47.08,3.09,51.60
penultimate/mixtral_8x7b/with_geom_time/hit5_metrics_canva.csv,45.53,1.19,47.35
penultimate/deepseek-coder_33b/base_version/hit5_metrics_canva.csv,21.96,9.80,30.63
penultimate/deepseek-coder_33b/with_geom/hit5_metrics_canva.csv,34.94,0.46,35.65
penultimate/deepseek-coder_33b/with_geom_time_cluster/hit5_metrics_canva.csv,51.94,4.81,57.19
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/hit5_metrics_canva.csv,37.01,1.33,38.84
penultimate/deepseek-coder_33b/with_geom_time/hit5_metrics_canva.csv,35.31,0.53,36.01
penultimate/qwen2.5_7b/base_version/hit5_metrics_canva.csv,0.24,0.08,0.40
penultimate/qwen2.5_7b/with_geom/hit5_metrics_canva.csv,42.96,0.77,43.99
penultimate/qwen2.5_7b/with_geom_time_cluster/hit5_metrics_canva.csv,63.08,4.48,69.35
penultimate/qwen2.5_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,36.54,1.59,38.60
penultimate/qwen2.5_7b/with_geom_time/hit5_metrics_canva.csv,42.73,0.68,43.47
