Year,Value,Metric
2014,9.85,Top-1 Accuracy
2015,10.24,Top-1 Accuracy
2016,9.99,Top-1 Accuracy
2017,9.42,Top-1 Accuracy
2018,9.27,Top-1 Accuracy
2019,10.85,Top-1 Accuracy
2020,10.95,Top-1 Accuracy
2021,8.95,Top-1 Accuracy
2022,10.21,Top-1 Accuracy
2023,10.18,Top-1 Accuracy
2014,16.49,Top-5 Hit Rate
2015,16.87,Top-5 Hit Rate
2016,16.56,Top-5 Hit Rate
2017,16.04,Top-5 Hit Rate
2018,15.6,Top-5 Hit Rate
2019,16.74,Top-5 Hit Rate
2020,17.85,Top-5 Hit Rate
2021,13.59,Top-5 Hit Rate
2022,14.75,Top-5 Hit Rate
2023,15.53,Top-5 Hit Rate
