Year,Value,Metric
2014,14.81,Top-1 Accuracy
2015,14.08,Top-1 Accuracy
2016,13.77,Top-1 Accuracy
2017,13.89,Top-1 Accuracy
2018,14.22,Top-1 Accuracy
2019,14.96,Top-1 Accuracy
2020,12.31,Top-1 Accuracy
2021,13.91,Top-1 Accuracy
2022,15.31,Top-1 Accuracy
2023,13.78,Top-1 Accuracy
2014,42.88,Top-5 Hit Rate
2015,43.39,Top-5 Hit Rate
2016,43.41,Top-5 Hit Rate
2017,42.2,Top-5 Hit Rate
2018,42.75,Top-5 Hit Rate
2019,42.97,Top-5 Hit Rate
2020,41.47,Top-5 Hit Rate
2021,43.99,Top-5 Hit Rate
2022,43.91,Top-5 Hit Rate
2023,42.62,Top-5 Hit Rate
