Year,Value,Metric
2014,5.05,Top-1 Accuracy
2015,4.8,Top-1 Accuracy
2016,3.89,Top-1 Accuracy
2017,5.26,Top-1 Accuracy
2018,5.01,Top-1 Accuracy
2019,4.74,Top-1 Accuracy
2020,4.14,Top-1 Accuracy
2021,3.85,Top-1 Accuracy
2022,4.72,Top-1 Accuracy
2023,3.86,Top-1 Accuracy
2014,43.39,Top-5 Hit Rate
2015,41.26,Top-5 Hit Rate
2016,39.82,Top-5 Hit Rate
2017,41.58,Top-5 Hit Rate
2018,40.37,Top-5 Hit Rate
2019,40.36,Top-5 Hit Rate
2020,38.9,Top-5 Hit Rate
2021,38.42,Top-5 Hit Rate
2022,39.02,Top-5 Hit Rate
2023,37.83,Top-5 Hit Rate
