Year,Value,Metric
2014,7.42,Top-1 Accuracy
2015,7.61,Top-1 Accuracy
2016,8.15,Top-1 Accuracy
2017,8.12,Top-1 Accuracy
2018,7.53,Top-1 Accuracy
2019,7.82,Top-1 Accuracy
2020,8.91,Top-1 Accuracy
2021,8.62,Top-1 Accuracy
2022,9.74,Top-1 Accuracy
2023,9.97,Top-1 Accuracy
2014,12.12,Top-5 Hit Rate
2015,12.66,Top-5 Hit Rate
2016,12.95,Top-5 Hit Rate
2017,13.97,Top-5 Hit Rate
2018,13.44,Top-5 Hit Rate
2019,13.47,Top-5 Hit Rate
2020,14.3,Top-5 Hit Rate
2021,13.16,Top-5 Hit Rate
2022,13.54,Top-5 Hit Rate
2023,14.37,Top-5 Hit Rate
