Year,Value,Metric
2014,4.68,Top-1 Accuracy
2015,5.48,Top-1 Accuracy
2016,5.88,Top-1 Accuracy
2017,5.29,Top-1 Accuracy
2018,5.86,Top-1 Accuracy
2019,6.56,Top-1 Accuracy
2020,5.77,Top-1 Accuracy
2021,6.55,Top-1 Accuracy
2022,7.54,Top-1 Accuracy
2023,5.09,Top-1 Accuracy
2014,53.55,Top-5 Hit Rate
2015,53.5,Top-5 Hit Rate
2016,53.02,Top-5 Hit Rate
2017,52.13,Top-5 Hit Rate
2018,52.64,Top-5 Hit Rate
2019,53.88,Top-5 Hit Rate
2020,49.43,Top-5 Hit Rate
2021,51.54,Top-5 Hit Rate
2022,52.91,Top-5 Hit Rate
2023,50.64,Top-5 Hit Rate
