Year,Value,Metric
2014,38.48,Top-1 Accuracy
2015,37.03,Top-1 Accuracy
2016,34.79,Top-1 Accuracy
2017,33.55,Top-1 Accuracy
2018,31.2,Top-1 Accuracy
2019,33.74,Top-1 Accuracy
2020,33.69,Top-1 Accuracy
2021,29.3,Top-1 Accuracy
2022,34.58,Top-1 Accuracy
2023,31.36,Top-1 Accuracy
2014,71.83,Top-5 Hit Rate
2015,70.66,Top-5 Hit Rate
2016,69.4,Top-5 Hit Rate
2017,69.24,Top-5 Hit Rate
2018,71.47,Top-5 Hit Rate
2019,73.19,Top-5 Hit Rate
2020,70.69,Top-5 Hit Rate
2021,71.99,Top-5 Hit Rate
2022,73.72,Top-5 Hit Rate
2023,71.64,Top-5 Hit Rate
