Year,Value,Metric
2014,27.1,Top-1 Accuracy
2015,25.59,Top-1 Accuracy
2016,26.04,Top-1 Accuracy
2017,24.72,Top-1 Accuracy
2018,26.41,Top-1 Accuracy
2019,26.31,Top-1 Accuracy
2020,18.23,Top-1 Accuracy
2021,21.21,Top-1 Accuracy
2022,25.17,Top-1 Accuracy
2023,22.63,Top-1 Accuracy
2014,63.0,Top-5 Hit Rate
2015,62.41,Top-5 Hit Rate
2016,63.84,Top-5 Hit Rate
2017,62.75,Top-5 Hit Rate
2018,62.09,Top-5 Hit Rate
2019,62.47,Top-5 Hit Rate
2020,57.62,Top-5 Hit Rate
2021,58.9,Top-5 Hit Rate
2022,60.87,Top-5 Hit Rate
2023,61.72,Top-5 Hit Rate
