Year,Value,Metric
2014,0.04,Top-1 Accuracy
2015,0.79,Top-1 Accuracy
2016,3.06,Top-1 Accuracy
2017,2.9,Top-1 Accuracy
2018,2.81,Top-1 Accuracy
2019,2.98,Top-1 Accuracy
2020,3.82,Top-1 Accuracy
2021,2.19,Top-1 Accuracy
2022,2.21,Top-1 Accuracy
2023,2.47,Top-1 Accuracy
2014,1.1,Top-5 Hit Rate
2015,6.83,Top-5 Hit Rate
2016,25.73,Top-5 Hit Rate
2017,27.46,Top-5 Hit Rate
2018,27.06,Top-5 Hit Rate
2019,27.59,Top-5 Hit Rate
2020,30.63,Top-5 Hit Rate
2021,22.66,Top-5 Hit Rate
2022,24.51,Top-5 Hit Rate
2023,25.99,Top-5 Hit Rate
