Year,Value,Metric
2014,5.23,Top-1 Accuracy
2015,4.81,Top-1 Accuracy
2016,5.11,Top-1 Accuracy
2017,4.79,Top-1 Accuracy
2018,4.64,Top-1 Accuracy
2019,5.02,Top-1 Accuracy
2020,5.73,Top-1 Accuracy
2021,4.45,Top-1 Accuracy
2022,4.63,Top-1 Accuracy
2023,5.16,Top-1 Accuracy
2014,41.42,Top-5 Hit Rate
2015,41.09,Top-5 Hit Rate
2016,41.83,Top-5 Hit Rate
2017,41.41,Top-5 Hit Rate
2018,42.39,Top-5 Hit Rate
2019,42.82,Top-5 Hit Rate
2020,42.4,Top-5 Hit Rate
2021,41.77,Top-5 Hit Rate
2022,41.21,Top-5 Hit Rate
2023,41.51,Top-5 Hit Rate
