Year,Value,Metric
2014,14.3,Top-1 Accuracy
2015,14.39,Top-1 Accuracy
2016,14.45,Top-1 Accuracy
2017,13.76,Top-1 Accuracy
2018,14.48,Top-1 Accuracy
2019,14.72,Top-1 Accuracy
2020,13.63,Top-1 Accuracy
2021,13.86,Top-1 Accuracy
2022,13.89,Top-1 Accuracy
2023,13.56,Top-1 Accuracy
2014,45.62,Top-5 Hit Rate
2015,45.66,Top-5 Hit Rate
2016,45.9,Top-5 Hit Rate
2017,44.64,Top-5 Hit Rate
2018,44.95,Top-5 Hit Rate
2019,45.39,Top-5 Hit Rate
2020,43.55,Top-5 Hit Rate
2021,46.3,Top-5 Hit Rate
2022,45.41,Top-5 Hit Rate
2023,44.41,Top-5 Hit Rate
