Year,Value,Metric
2014,18.5,Top-1 Accuracy
2015,18.06,Top-1 Accuracy
2016,17.6,Top-1 Accuracy
2017,16.51,Top-1 Accuracy
2018,17.9,Top-1 Accuracy
2019,18.04,Top-1 Accuracy
2020,15.37,Top-1 Accuracy
2021,17.2,Top-1 Accuracy
2022,15.94,Top-1 Accuracy
2023,16.18,Top-1 Accuracy
2014,41.89,Top-5 Hit Rate
2015,41.63,Top-5 Hit Rate
2016,41.7,Top-5 Hit Rate
2017,39.91,Top-5 Hit Rate
2018,41.06,Top-5 Hit Rate
2019,41.39,Top-5 Hit Rate
2020,37.6,Top-5 Hit Rate
2021,43.14,Top-5 Hit Rate
2022,43.22,Top-5 Hit Rate
2023,41.56,Top-5 Hit Rate
