Year,Value,Metric
2014,9.76,Top-1 Accuracy
2015,10.07,Top-1 Accuracy
2016,9.77,Top-1 Accuracy
2017,9.54,Top-1 Accuracy
2018,10.03,Top-1 Accuracy
2019,10.45,Top-1 Accuracy
2020,9.54,Top-1 Accuracy
2021,11.57,Top-1 Accuracy
2022,11.04,Top-1 Accuracy
2023,9.42,Top-1 Accuracy
2014,46.97,Top-5 Hit Rate
2015,47.45,Top-5 Hit Rate
2016,47.18,Top-5 Hit Rate
2017,47.66,Top-5 Hit Rate
2018,48.75,Top-5 Hit Rate
2019,49.29,Top-5 Hit Rate
2020,46.34,Top-5 Hit Rate
2021,50.37,Top-5 Hit Rate
2022,49.46,Top-5 Hit Rate
2023,47.16,Top-5 Hit Rate
