Year,Value,Metric
2014,6.42,Top-1 Accuracy
2015,6.98,Top-1 Accuracy
2016,6.92,Top-1 Accuracy
2017,6.22,Top-1 Accuracy
2018,6.74,Top-1 Accuracy
2019,7.37,Top-1 Accuracy
2020,7.07,Top-1 Accuracy
2021,6.78,Top-1 Accuracy
2022,7.6,Top-1 Accuracy
2023,6.1,Top-1 Accuracy
2014,44.71,Top-5 Hit Rate
2015,45.42,Top-5 Hit Rate
2016,45.17,Top-5 Hit Rate
2017,44.51,Top-5 Hit Rate
2018,46.0,Top-5 Hit Rate
2019,46.43,Top-5 Hit Rate
2020,43.86,Top-5 Hit Rate
2021,47.35,Top-5 Hit Rate
2022,47.25,Top-5 Hit Rate
2023,44.59,Top-5 Hit Rate
