Year,Value,Metric
2014,0.01,Top-1 Accuracy
2015,0.0,Top-1 Accuracy
2016,0.0,Top-1 Accuracy
2017,0.0,Top-1 Accuracy
2018,0.01,Top-1 Accuracy
2019,0.0,Top-1 Accuracy
2020,0.0,Top-1 Accuracy
2021,0.01,Top-1 Accuracy
2022,0.01,Top-1 Accuracy
2023,0.0,Top-1 Accuracy
2014,0.21,Top-5 Hit Rate
2015,0.18,Top-5 Hit Rate
2016,0.22,Top-5 Hit Rate
2017,0.2,Top-5 Hit Rate
2018,0.4,Top-5 Hit Rate
2019,0.26,Top-5 Hit Rate
2020,0.26,Top-5 Hit Rate
2021,0.29,Top-5 Hit Rate
2022,0.25,Top-5 Hit Rate
2023,0.1,Top-5 Hit Rate
