Year,Value,Metric
2014,5.19,Top-1 Accuracy
2015,5.56,Top-1 Accuracy
2016,3.16,Top-1 Accuracy
2017,3.21,Top-1 Accuracy
2018,5.83,Top-1 Accuracy
2019,6.99,Top-1 Accuracy
2020,6.41,Top-1 Accuracy
2021,6.62,Top-1 Accuracy
2022,6.59,Top-1 Accuracy
2023,6.39,Top-1 Accuracy
2014,44.21,Top-5 Hit Rate
2015,47.41,Top-5 Hit Rate
2016,46.27,Top-5 Hit Rate
2017,45.32,Top-5 Hit Rate
2018,42.11,Top-5 Hit Rate
2019,42.22,Top-5 Hit Rate
2020,44.72,Top-5 Hit Rate
2021,38.34,Top-5 Hit Rate
2022,38.33,Top-5 Hit Rate
2023,39.19,Top-5 Hit Rate
2014,17.52,MRR
2015,18.51,MRR
2016,16.75,MRR
2017,16.48,MRR
2018,17.03,MRR
2019,17.93,MRR
2020,18.21,MRR
2021,16.01,MRR
2022,16.43,MRR
2023,16.35,MRR
2014,100.0,Coverage
2015,100.0,Coverage
2016,100.0,Coverage
2017,95.45,Coverage
2018,95.45,Coverage
2019,95.45,Coverage
2020,95.45,Coverage
2021,95.45,Coverage
2022,95.45,Coverage
2023,95.45,Coverage
2014,118.18,Diversity Ratio
2015,118.18,Diversity Ratio
2016,113.64,Diversity Ratio
2017,104.55,Diversity Ratio
2018,113.64,Diversity Ratio
2019,122.73,Diversity Ratio
2020,100.0,Diversity Ratio
2021,109.09,Diversity Ratio
2022,104.55,Diversity Ratio
2023,104.55,Diversity Ratio
