Year,Value,Metric
2014,7.42,Top-1 Accuracy
2015,7.61,Top-1 Accuracy
2016,8.16,Top-1 Accuracy
2017,8.13,Top-1 Accuracy
2018,7.53,Top-1 Accuracy
2019,7.82,Top-1 Accuracy
2020,8.91,Top-1 Accuracy
2021,8.62,Top-1 Accuracy
2022,9.74,Top-1 Accuracy
2023,9.98,Top-1 Accuracy
2014,25.06,Top-5 Hit Rate
2015,24.45,Top-5 Hit Rate
2016,25.32,Top-5 Hit Rate
2017,25.77,Top-5 Hit Rate
2018,25.03,Top-5 Hit Rate
2019,25.63,Top-5 Hit Rate
2020,22.42,Top-5 Hit Rate
2021,25.53,Top-5 Hit Rate
2022,27.41,Top-5 Hit Rate
2023,26.4,Top-5 Hit Rate
2014,12.98,MRR
2015,12.89,MRR
2016,13.58,MRR
2017,13.62,MRR
2018,12.99,MRR
2019,13.32,MRR
2020,13.0,MRR
2021,13.74,MRR
2022,15.31,MRR
2023,15.07,MRR
2014,68.18,Coverage
2015,63.64,Coverage
2016,63.64,Coverage
2017,63.64,Coverage
2018,63.64,Coverage
2019,63.64,Coverage
2020,50.0,Coverage
2021,54.55,Coverage
2022,68.18,Coverage
2023,59.09,Coverage
2014,2463.64,Diversity Ratio
2015,2618.18,Diversity Ratio
2016,2836.36,Diversity Ratio
2017,2718.18,Diversity Ratio
2018,3040.91,Diversity Ratio
2019,3413.64,Diversity Ratio
2020,1327.27,Diversity Ratio
2021,1340.91,Diversity Ratio
2022,2468.18,Diversity Ratio
2023,1081.82,Diversity Ratio
