Year,Value,Metric
2015,5.48,Top-1 Accuracy
2016,5.88,Top-1 Accuracy
2017,5.29,Top-1 Accuracy
2018,5.86,Top-1 Accuracy
2019,6.56,Top-1 Accuracy
2020,5.77,Top-1 Accuracy
2021,6.55,Top-1 Accuracy
2022,7.54,Top-1 Accuracy
2015,53.51,Top-5 Hit Rate
2016,53.02,Top-5 Hit Rate
2017,52.14,Top-5 Hit Rate
2018,52.65,Top-5 Hit Rate
2019,53.88,Top-5 Hit Rate
2020,49.43,Top-5 Hit Rate
2021,51.56,Top-5 Hit Rate
2022,52.91,Top-5 Hit Rate
2015,20.81,MRR
2016,20.88,MRR
2017,20.14,MRR
2018,20.61,MRR
2019,21.68,MRR
2020,19.52,MRR
2021,20.81,MRR
2022,21.82,MRR
2015,95.24,Coverage
2016,95.24,Coverage
2017,95.24,Coverage
2018,95.24,Coverage
2019,95.24,Coverage
2020,95.24,Coverage
2021,95.24,Coverage
2022,95.24,Coverage
2015,161.9,Diversity Ratio
2016,157.14,Diversity Ratio
2017,176.19,Diversity Ratio
2018,180.95,Diversity Ratio
2019,219.05,Diversity Ratio
2020,138.1,Diversity Ratio
2021,157.14,Diversity Ratio
2022,166.67,Diversity Ratio
