Year,Value,Metric
2015,26.54,Top-1 Accuracy
2016,26.68,Top-1 Accuracy
2017,25.49,Top-1 Accuracy
2018,27.09,Top-1 Accuracy
2019,27.35,Top-1 Accuracy
2020,18.42,Top-1 Accuracy
2021,21.91,Top-1 Accuracy
2022,25.79,Top-1 Accuracy
2023,23.14,Top-1 Accuracy
2015,65.15,Top-5 Hit Rate
2016,65.68,Top-5 Hit Rate
2017,65.12,Top-5 Hit Rate
2018,64.88,Top-5 Hit Rate
2019,65.13,Top-5 Hit Rate
2020,60.36,Top-5 Hit Rate
2021,62.3,Top-5 Hit Rate
2022,63.72,Top-5 Hit Rate
2023,63.42,Top-5 Hit Rate
2015,40.07,MRR
2016,40.17,MRR
2017,39.22,MRR
2018,40.41,MRR
2019,40.52,MRR
2020,32.83,MRR
2021,35.48,MRR
2022,38.59,MRR
2023,36.57,MRR
2015,95.24,Coverage
2016,95.24,Coverage
2017,95.24,Coverage
2018,95.24,Coverage
2019,95.24,Coverage
2020,95.24,Coverage
2021,95.24,Coverage
2022,95.24,Coverage
2023,95.24,Coverage
2015,390.48,Diversity Ratio
2016,390.48,Diversity Ratio
2017,438.1,Diversity Ratio
2018,390.48,Diversity Ratio
2019,490.48,Diversity Ratio
2020,204.76,Diversity Ratio
2021,223.81,Diversity Ratio
2022,352.38,Diversity Ratio
2023,185.71,Diversity Ratio
