Year,Value,Metric
2014,0.01,Top-1 Accuracy
2015,0.02,Top-1 Accuracy
2016,0.01,Top-1 Accuracy
2017,0.02,Top-1 Accuracy
2018,0.01,Top-1 Accuracy
2019,0.01,Top-1 Accuracy
2020,0.01,Top-1 Accuracy
2021,0.0,Top-1 Accuracy
2022,0.01,Top-1 Accuracy
2023,0.0,Top-1 Accuracy
2014,0.59,Top-5 Hit Rate
2015,0.92,Top-5 Hit Rate
2016,0.94,Top-5 Hit Rate
2017,0.68,Top-5 Hit Rate
2018,0.77,Top-5 Hit Rate
2019,1.18,Top-5 Hit Rate
2020,0.82,Top-5 Hit Rate
2021,0.88,Top-5 Hit Rate
2022,0.78,Top-5 Hit Rate
2023,1.04,Top-5 Hit Rate
2014,0.25,MRR
2015,0.36,MRR
2016,0.36,MRR
2017,0.28,MRR
2018,0.31,MRR
2019,0.46,MRR
2020,0.33,MRR
2021,0.33,MRR
2022,0.3,MRR
2023,0.41,MRR
2014,54.55,Coverage
2015,50.0,Coverage
2016,45.45,Coverage
2017,54.55,Coverage
2018,40.91,Coverage
2019,63.64,Coverage
2020,36.36,Coverage
2021,36.36,Coverage
2022,45.45,Coverage
2023,45.45,Coverage
2014,93059.09,Diversity Ratio
2015,86650.0,Diversity Ratio
2016,85772.73,Diversity Ratio
2017,97386.36,Diversity Ratio
2018,91168.18,Diversity Ratio
2019,147004.55,Diversity Ratio
2020,24931.82,Diversity Ratio
2021,36100.0,Diversity Ratio
2022,78127.27,Diversity Ratio
2023,22909.09,Diversity Ratio
