Year,Value,Metric
2014,3.56,Top-1 Accuracy
2015,3.31,Top-1 Accuracy
2016,3.4,Top-1 Accuracy
2017,3.19,Top-1 Accuracy
2018,3.21,Top-1 Accuracy
2019,3.39,Top-1 Accuracy
2020,4.18,Top-1 Accuracy
2021,2.98,Top-1 Accuracy
2022,2.95,Top-1 Accuracy
2023,3.21,Top-1 Accuracy
2014,29.57,Top-5 Hit Rate
2015,29.51,Top-5 Hit Rate
2016,30.01,Top-5 Hit Rate
2017,29.53,Top-5 Hit Rate
2018,29.89,Top-5 Hit Rate
2019,30.27,Top-5 Hit Rate
2020,27.47,Top-5 Hit Rate
2021,30.32,Top-5 Hit Rate
2022,30.25,Top-5 Hit Rate
2023,29.95,Top-5 Hit Rate
