Year,Value,Metric
2014,0.04,Top-1 Accuracy
2016,3.09,Top-1 Accuracy
2017,2.93,Top-1 Accuracy
2018,2.83,Top-1 Accuracy
2019,2.99,Top-1 Accuracy
2020,3.87,Top-1 Accuracy
2021,2.22,Top-1 Accuracy
2022,2.25,Top-1 Accuracy
2023,2.51,Top-1 Accuracy
2014,1.11,Top-5 Hit Rate
2016,30.35,Top-5 Hit Rate
2017,32.39,Top-5 Hit Rate
2018,31.41,Top-5 Hit Rate
2019,31.94,Top-5 Hit Rate
2020,34.35,Top-5 Hit Rate
2021,27.46,Top-5 Hit Rate
2022,28.9,Top-5 Hit Rate
2023,30.9,Top-5 Hit Rate
2014,0.38,MRR
2016,11.46,MRR
2017,11.61,MRR
2018,11.25,MRR
2019,11.68,MRR
2020,13.27,MRR
2021,9.7,MRR
2022,10.17,MRR
2023,10.87,MRR
2014,95.45,Coverage
2016,63.64,Coverage
2017,63.64,Coverage
2018,59.09,Coverage
2019,63.64,Coverage
2020,36.36,Coverage
2021,36.36,Coverage
2022,54.55,Coverage
2023,40.91,Coverage
2014,3586.36,Diversity Ratio
2016,2690.91,Diversity Ratio
2017,2786.36,Diversity Ratio
2018,2663.64,Diversity Ratio
2019,3468.18,Diversity Ratio
2020,1245.45,Diversity Ratio
2021,1522.73,Diversity Ratio
2022,2413.64,Diversity Ratio
2023,1168.18,Diversity Ratio
