Year,Value,Metric
2014,3.96,Top-1 Accuracy
2015,4.64,Top-1 Accuracy
2016,3.49,Top-1 Accuracy
2017,3.48,Top-1 Accuracy
2018,5.09,Top-1 Accuracy
2019,5.8,Top-1 Accuracy
2020,5.36,Top-1 Accuracy
2021,5.72,Top-1 Accuracy
2022,6.32,Top-1 Accuracy
2023,5.39,Top-1 Accuracy
2014,35.36,Top-5 Hit Rate
2015,37.61,Top-5 Hit Rate
2016,38.69,Top-5 Hit Rate
2017,37.35,Top-5 Hit Rate
2018,37.21,Top-5 Hit Rate
2019,37.66,Top-5 Hit Rate
2020,38.84,Top-5 Hit Rate
2021,34.75,Top-5 Hit Rate
2022,36.27,Top-5 Hit Rate
2023,36.37,Top-5 Hit Rate
2014,13.76,MRR
2015,14.86,MRR
2016,14.72,MRR
2017,14.44,MRR
2018,15.58,MRR
2019,16.34,MRR
2020,16.26,MRR
2021,14.64,MRR
2022,16.08,MRR
2023,15.31,MRR
2014,100.0,Coverage
2015,100.0,Coverage
2016,100.0,Coverage
2017,100.0,Coverage
2018,100.0,Coverage
2019,100.0,Coverage
2020,100.0,Coverage
2021,100.0,Coverage
2022,100.0,Coverage
2023,100.0,Coverage
2014,127.27,Diversity Ratio
2015,127.27,Diversity Ratio
2016,127.27,Diversity Ratio
2017,140.91,Diversity Ratio
2018,145.45,Diversity Ratio
2019,168.18,Diversity Ratio
2020,113.64,Diversity Ratio
2021,122.73,Diversity Ratio
2022,122.73,Diversity Ratio
2023,109.09,Diversity Ratio
