Year,Value,Metric
2015,22.99,Top-1 Accuracy
2016,22.7,Top-1 Accuracy
2017,20.98,Top-1 Accuracy
2018,22.89,Top-1 Accuracy
2019,22.87,Top-1 Accuracy
2020,18.64,Top-1 Accuracy
2021,22.07,Top-1 Accuracy
2022,21.39,Top-1 Accuracy
2023,19.67,Top-1 Accuracy
2015,46.27,Top-5 Hit Rate
2016,46.42,Top-5 Hit Rate
2017,45.24,Top-5 Hit Rate
2018,46.47,Top-5 Hit Rate
2019,46.69,Top-5 Hit Rate
2020,42.54,Top-5 Hit Rate
2021,47.53,Top-5 Hit Rate
2022,47.46,Top-5 Hit Rate
2023,45.6,Top-5 Hit Rate
2015,30.68,MRR
2016,30.63,MRR
2017,29.05,MRR
2018,30.77,MRR
2019,30.84,MRR
2020,26.49,MRR
2021,30.55,MRR
2022,30.14,MRR
2023,28.42,MRR
2015,100.0,Coverage
2016,100.0,Coverage
2017,100.0,Coverage
2018,100.0,Coverage
2019,100.0,Coverage
2020,100.0,Coverage
2021,100.0,Coverage
2022,100.0,Coverage
2023,100.0,Coverage
2015,1142.86,Diversity Ratio
2016,1161.9,Diversity Ratio
2017,1161.9,Diversity Ratio
2018,1304.76,Diversity Ratio
2019,1566.67,Diversity Ratio
2020,652.38,Diversity Ratio
2021,776.19,Diversity Ratio
2022,1133.33,Diversity Ratio
2023,604.76,Diversity Ratio
