Year,Value,Metric
2014,9.76,Top-1 Accuracy
2015,10.07,Top-1 Accuracy
2016,9.77,Top-1 Accuracy
2017,9.54,Top-1 Accuracy
2018,10.03,Top-1 Accuracy
2019,10.45,Top-1 Accuracy
2020,9.54,Top-1 Accuracy
2021,11.57,Top-1 Accuracy
2022,11.04,Top-1 Accuracy
2023,9.42,Top-1 Accuracy
2014,46.98,Top-5 Hit Rate
2015,47.45,Top-5 Hit Rate
2016,47.18,Top-5 Hit Rate
2017,47.66,Top-5 Hit Rate
2018,48.75,Top-5 Hit Rate
2019,49.3,Top-5 Hit Rate
2020,46.34,Top-5 Hit Rate
2021,50.37,Top-5 Hit Rate
2022,49.46,Top-5 Hit Rate
2023,47.16,Top-5 Hit Rate
2014,22.43,MRR
2015,22.95,MRR
2016,22.8,MRR
2017,22.54,MRR
2018,23.28,MRR
2019,23.85,MRR
2020,22.32,MRR
2021,25.14,MRR
2022,24.54,MRR
2023,22.65,MRR
2014,100.0,Coverage
2015,100.0,Coverage
2016,100.0,Coverage
2017,100.0,Coverage
2018,100.0,Coverage
2019,100.0,Coverage
2020,95.45,Coverage
2021,95.45,Coverage
2022,100.0,Coverage
2023,95.45,Coverage
2014,177.27,Diversity Ratio
2015,168.18,Diversity Ratio
2016,172.73,Diversity Ratio
2017,186.36,Diversity Ratio
2018,200.0,Diversity Ratio
2019,195.45,Diversity Ratio
2020,150.0,Diversity Ratio
2021,154.55,Diversity Ratio
2022,172.73,Diversity Ratio
2023,131.82,Diversity Ratio
