Path,Mean,StdDev,Max
middle/qwen2.5_7b/with_geom_time/top1_metrics_canva.csv,17.81,1.69,19.50
middle/qwen2.5_7b/with_geom_time_cluster/top1_metrics_canva.csv,31.19,1.52,33.59
middle/qwen2.5_7b/with_geom/top1_metrics_canva.csv,19.13,1.95,21.30
middle/qwen2.5_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,10.09,3.67,15.55
middle/qwen2.5_7b/base_version/top1_metrics_canva.csv,0.01,0.01,0.02
middle/llama3.1_8b/with_geom_time/top1_metrics_canva.csv,14.37,1.55,15.83
middle/llama3.1_8b/with_geom_time_cluster/top1_metrics_canva.csv,30.27,2.94,35.12
middle/llama3.1_8b/with_geom/top1_metrics_canva.csv,13.24,1.48,14.92
middle/llama3.1_8b/with_geom_time_best_cluster/top1_metrics_canva.csv,13.45,3.98,17.55
middle/llama3.1_8b/base_version/top1_metrics_canva.csv,8.39,0.91,9.98
middle/mixtral_8x7b/with_geom_time/top1_metrics_canva.csv,6.12,0.73,7.54
middle/mixtral_8x7b/with_geom_time_cluster/top1_metrics_canva.csv,33.77,2.73,38.48
middle/mixtral_8x7b/with_geom/top1_metrics_canva.csv,12.89,1.25,14.94
middle/mixtral_8x7b/with_geom_time_best_cluster/top1_metrics_canva.csv,14.68,5.35,20.86
middle/mixtral_8x7b/base_version/top1_metrics_canva.csv,1.43,0.24,1.86
middle/baseline_heuristics/nearest/top1_metrics_canva.csv,2.08,0.32,2.73
middle/baseline_heuristics/absolute_popular/top1_metrics_canva.csv,29.18,1.69,32.17
middle/baseline_heuristics/absolute_popular_top_k/top1_metrics_canva.csv,29.18,1.69,32.17
middle/baseline_heuristics/popular/top1_metrics_canva.csv,38.95,1.93,41.48
middle/baseline_heuristics/random/top1_metrics_canva.csv,5.22,0.08,5.38
middle/deepseek-coder_33b/with_geom_time/top1_metrics_canva.csv,4.53,0.54,5.26
middle/deepseek-coder_33b/with_geom_time_cluster/top1_metrics_canva.csv,27.92,2.63,31.18
middle/deepseek-coder_33b/with_geom/top1_metrics_canva.csv,4.81,0.79,5.90
middle/deepseek-coder_33b/with_geom_time_best_cluster/top1_metrics_canva.csv,5.60,1.38,6.99
middle/deepseek-coder_33b/base_version/top1_metrics_canva.csv,0.01,0.01,0.03
middle/qwen2.5_14b/with_geom_time/top1_metrics_canva.csv,24.34,2.81,27.10
middle/qwen2.5_14b/with_geom_time_cluster/top1_metrics_canva.csv,33.19,2.55,37.92
middle/qwen2.5_14b/with_geom/top1_metrics_canva.csv,24.71,2.99,27.35
middle/qwen2.5_14b/with_geom_time_best_cluster/top1_metrics_canva.csv,16.23,5.92,21.97
middle/qwen2.5_14b/base_version/top1_metrics_canva.csv,0.89,0.11,1.08
middle/mistral_7b/with_geom_time/top1_metrics_canva.csv,17.27,1.86,19.84
middle/mistral_7b/with_geom_time_cluster/top1_metrics_canva.csv,29.62,1.75,32.90
middle/mistral_7b/with_geom/top1_metrics_canva.csv,24.54,2.41,27.64
middle/mistral_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,17.18,2.23,20.10
middle/mistral_7b/base_version/top1_metrics_canva.csv,0.18,0.04,0.25
penultimate/qwen2.5_7b/with_geom_time/top1_metrics_canva.csv,13.32,0.99,14.43
penultimate/qwen2.5_7b/with_geom_time_cluster/top1_metrics_canva.csv,26.06,3.18,30.26
penultimate/qwen2.5_7b/with_geom/top1_metrics_canva.csv,14.10,0.83,15.31
penultimate/qwen2.5_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,8.56,2.18,12.38
penultimate/qwen2.5_7b/base_version/top1_metrics_canva.csv,0.01,0.01,0.01
penultimate/llama3.1_8b/with_geom_time/top1_metrics_canva.csv,14.11,0.41,14.72
penultimate/llama3.1_8b/with_geom_time_cluster/top1_metrics_canva.csv,27.40,3.34,32.37
penultimate/llama3.1_8b/with_geom/top1_metrics_canva.csv,4.96,0.38,5.74
penultimate/llama3.1_8b/with_geom_time_best_cluster/top1_metrics_canva.csv,11.04,2.85,13.99
penultimate/llama3.1_8b/base_version/top1_metrics_canva.csv,11.22,0.57,12.01
penultimate/mixtral_8x7b/with_geom_time/top1_metrics_canva.csv,6.81,0.51,7.60
penultimate/mixtral_8x7b/with_geom_time_cluster/top1_metrics_canva.csv,32.18,2.52,35.71
penultimate/mixtral_8x7b/with_geom/top1_metrics_canva.csv,10.12,0.71,11.57
penultimate/mixtral_8x7b/with_geom_time_best_cluster/top1_metrics_canva.csv,11.61,4.26,16.75
penultimate/mixtral_8x7b/base_version/top1_metrics_canva.csv,4.22,0.90,6.21
penultimate/baseline_heuristics/nearest/top1_metrics_canva.csv,3.34,0.35,4.18
penultimate/baseline_heuristics/absolute_popular/top1_metrics_canva.csv,32.60,2.25,38.35
penultimate/baseline_heuristics/absolute_popular_top_k/top1_metrics_canva.csv,32.66,2.28,38.35
penultimate/baseline_heuristics/popular/top1_metrics_canva.csv,46.30,5.17,53.21
penultimate/baseline_heuristics/random/top1_metrics_canva.csv,5.62,0.12,5.75
penultimate/deepseek-coder_33b/with_geom_time/top1_metrics_canva.csv,3.97,0.27,4.50
penultimate/deepseek-coder_33b/with_geom_time_cluster/top1_metrics_canva.csv,25.42,4.94,32.50
penultimate/deepseek-coder_33b/with_geom/top1_metrics_canva.csv,4.29,0.38,4.96
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/top1_metrics_canva.csv,4.92,1.00,6.32
penultimate/deepseek-coder_33b/base_version/top1_metrics_canva.csv,2.53,1.06,3.87
penultimate/qwen2.5_14b/with_geom_time/top1_metrics_canva.csv,18.57,1.86,20.44
penultimate/qwen2.5_14b/with_geom_time_cluster/top1_metrics_canva.csv,30.73,3.01,36.45
penultimate/qwen2.5_14b/with_geom/top1_metrics_canva.csv,19.42,1.88,21.54
penultimate/qwen2.5_14b/with_geom_time_best_cluster/top1_metrics_canva.csv,12.74,4.88,20.03
penultimate/qwen2.5_14b/base_version/top1_metrics_canva.csv,2.90,0.47,3.73
penultimate/mistral_7b/with_geom_time/top1_metrics_canva.csv,17.13,1.06,18.50
penultimate/mistral_7b/with_geom_time_cluster/top1_metrics_canva.csv,30.59,3.02,36.49
penultimate/mistral_7b/with_geom/top1_metrics_canva.csv,21.58,1.56,22.99
penultimate/mistral_7b/with_geom_time_best_cluster/top1_metrics_canva.csv,13.16,2.52,17.18
penultimate/mistral_7b/base_version/top1_metrics_canva.csv,0.13,0.05,0.21
middle/qwen2.5_7b/with_geom_time/hit5_metrics_canva.csv,50.06,1.43,52.22
middle/qwen2.5_7b/with_geom_time_cluster/hit5_metrics_canva.csv,71.91,2.05,74.78
middle/qwen2.5_7b/with_geom/hit5_metrics_canva.csv,50.21,1.66,52.69
middle/qwen2.5_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,44.85,3.03,49.25
middle/qwen2.5_7b/base_version/hit5_metrics_canva.csv,0.86,0.17,1.18
